0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Emission_Norm,Engine_Location,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,City_Mileage,Highway_Mileage,Kerb_Weight,Ground_Clearance,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Power,torque,Seating_Capacity,Wheelbase,Boot_Space,Minimum_Turning_Radius,Number_of_Airbags
356,Mahindra,Scorpio,S3 2Wd,999994,2523,4,BS IV,"Front, Longitudinal",60,Diesel,1930,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,75,200,9,2680,0,5.4,0
357,Mahindra,Scorpio,4Wd Getaway,1236258,2179,4,BS IV,"Front, Longitudinal",80,Diesel,1874,5118,1850,SUV,8.1,10.22,1865,210,Double wish-bone with torsion bar,Semi-elliptical leaf spring with double acting hydraulic shock absorber and stab bar,1450,1450,121,280,5,3040,460,5.7,0
358,Mahindra,Scorpio,2Wd Getaway,1123158,2179,4,BS IV,"Front, Longitudinal",80,Diesel,1874,5118,1850,SUV,9.4,13.5,2510,210,Double wish-bone with torsion bar,Semi-elliptical leaf spring with double acting hydraulic shock absorber and stab bar,1450,1450,121,280,5,3040,460,5.7,0
359,Mahindra,Scorpio,S5 2Wd,1220030,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,120,280,9,2680,0,5.4,2
360,Mahindra,Scorpio,S7 120 2Wd,1330006,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,120,280,9,2680,0,5.4,2
361,Mahindra,Scorpio,S7 140 2Wd,1360668,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,140,320,9,2680,0,5.4,2
362,Mahindra,Scorpio,S11 2Wd,1540081,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,140,320,9,2680,0,5.4,2
363,Mahindra,Scorpio,S11 4Wd,1663054,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Hydraulic Double Acting, Telescopic Shock Absorber",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,140,320,9,2680,0,5.65,2
364,Mahindra,Scorpio,S9 2Wd,1423710,2179,4,BS IV,"Front, Longitudinal",60,Diesel,1995,4456,1820,SUV,11.5,15.4,0,0,"Double Wish-bone type, Independent Front Coil Spring",Multi Link Coil Spring Suspension with Anti-roll Bar,0,0,140,320,9,2680,0,5.4,2
365,Skoda,Monte Carlo,Monte Carlo 1.5 Tdi At,1425599,1498,4,BS IV,"Front, Transverse",55,Diesel,1466,4413,1699,Sedan,18,21.72,1228,163,McPherson suspension with lower triangular links and torsion stabiliser,Compound link crank-axle,0,0,110,250,5,2552,460,5.3,2
